id_waktu,id_lokasi,date,jumlah_produksi,id_unit_peternakan
9065,46315,2023-12-18,14.05,
9046,47415,2023-11-30,12.675,
9180,47415,2024-04-06,13.85,
8929,47810,2023-08-08,15.966666666666667,
9264,46315,2024-06-27,16.095,
9097,47415,2024-01-17,13.96,
8870,47415,2023-06-12,59.125,
9286,46315,2024-07-18,15.8,
9015,47415,2023-10-31,14.370000000000001,
8657,47415,2022-11-19,15.665,
8876,47415,2023-06-18,13.423333333333332,
8864,47415,2023-06-06,16.405,
8679,46315,2022-12-10,16.560000000000002,
9109,46315,2024-01-29,19.475,
8750,47400,2023-02-16,14.850000000000001,
8428,47400,2022-04-11,9.5,
9170,47415,2024-03-28,13.715,
9014,47415,2023-10-30,14.24,
8893,47415,2023-07-04,13.866,
8976,46315,2023-09-23,15.27,
9234,46315,2024-05-29,16.555,
8607,47415,2022-10-01,15.355,
9004,47810,2023-10-20,15.921666666666667,
9218,47415,2024-05-13,15.98,
8626,47415,2022-10-20,15.595,
9294,44843,2024-07-26,17.92,
8967,46315,2023-09-14,16.115,
9158,46315,2024-03-16,22.650000000000002,
9338,47415,2024-09-06,24.5,
9273,47415,2024-07-05,17.09,
8892,47415,2023-07-03,13.466666666666667,
8760,47415,2023-02-26,12.632,
9095,47415,2024-01-15,14.785,
8520,47415,2022-07-09,8.3,
8958,46315,2023-09-05,20.32,
8870,47538,2023-06-12,59.125,
8731,46315,2023-01-29,14.975,
8610,46315,2022-10-04,17.56,
8968,47810,2023-09-15,18.695,
8603,46315,2022-09-28,16.85,
9307,47415,2024-08-07,14.525,
8907,47588,2023-07-18,13.375,
8475,47415,2022-05-27,13.05,
9159,46315,2024-03-17,16.94,
9095,46315,2024-01-15,14.785,
8692,47415,2022-12-23,15.075,
8965,47810,2023-09-12,19.265,
9311,47415,2024-08-11,13.25,
8438,47415,2022-04-21,10.9,
9274,46315,2024-07-06,16.845,
8854,47415,2023-05-28,11.5,
8874,47415,2023-06-16,46.71,
8753,47415,2023-02-19,13.037500000000001,
8660,47400,2022-11-22,16.1,
8931,46315,2023-08-10,15.515,
8929,47588,2023-08-08,15.966666666666667,
9217,47415,2024-05-12,16.25,
8431,47415,2022-04-14,14.3,
8645,47400,2022-11-07,13.889999999999999,
8612,47415,2022-10-06,17.145,
8965,47810,2023-09-12,19.265,
9220,46315,2024-05-15,15.1,
9209,46315,2024-05-04,16.435,
9001,46315,2023-10-17,18.125,
9061,47415,2023-12-14,15.524999999999999,
8748,47400,2023-02-14,14.725000000000001,
8792,46315,2023-03-29,17.83,
9273,46315,2024-07-05,17.09,
8661,46315,2022-11-23,15.450000000000001,
8487,47400,2022-06-07,11.65,
8621,47415,2022-10-15,15.575000000000001,
9041,46315,2023-11-25,14.55,
8899,46315,2023-07-10,14.475,
8852,46315,2023-05-26,11.690000000000001,
8885,47415,2023-06-27,16.1,
8742,47415,2023-02-08,14.9,
8655,47415,2022-11-17,15.81,
8527,47415,2022-07-16,12.65,
8429,47415,2022-04-12,9.4,
8613,47400,2022-10-07,17.445,
9120,46315,2024-02-08,19.975,
8662,46315,2022-11-24,15.325000000000001,
8720,47400,2023-01-18,14.61,
8987,47415,2023-10-03,27.7325,
8897,47415,2023-07-08,15.245,
8467,47400,2022-05-19,13.1,
9298,47415,2024-07-30,15.39,
8994,47415,2023-10-10,26.0225,
8537,47415,2022-07-26,12.9,
8620,46315,2022-10-14,15.65,
8735,46315,2023-02-01,14.260000000000002,
8658,47400,2022-11-20,15.27,
8990,47588,2023-10-06,20.0,
8901,47415,2023-07-12,14.765,
8566,47400,2022-08-23,13.0,
8485,47400,2022-06-05,12.6,
8782,47415,2023-03-19,20.323333333333334,
8604,47415,2022-09-29,17.105,
8656,47415,2022-11-18,15.875,
8506,47400,2022-06-26,9.95,
8985,46315,2023-10-01,14.79,
8622,47400,2022-10-16,15.92,
8929,47810,2023-08-08,15.966666666666667,
9283,46315,2024-07-15,15.15,
8830,46315,2023-05-04,12.57,
9024,46315,2023-11-08,15.875,
8685,46315,2022-12-16,15.11,
8624,46315,2022-10-18,17.255,
9276,46315,2024-07-08,17.525,
8615,47400,2022-10-09,16.435000000000002,
8475,47400,2022-05-27,13.05,
8554,47400,2022-08-11,13.9,
9163,47415,2024-03-21,15.169999999999998,
8622,47415,2022-10-16,15.92,
9259,46315,2024-06-22,15.614999999999998,
8765,47400,2023-03-02,13.873333333333335,
9178,46315,2024-04-04,13.955,
9245,46315,2024-06-08,15.735,
8555,47400,2022-08-12,13.9,
9070,46315,2023-12-23,14.715,
9011,47415,2023-10-27,14.66,
8639,47415,2022-11-01,14.0,
8879,46315,2023-06-21,15.825,
9304,46315,2024-08-04,13.2,
8502,47400,2022-06-22,10.5,
9070,47415,2023-12-23,14.715,
9030,46315,2023-11-14,15.58,
8594,47415,2022-09-19,17.485,
8822,47415,2023-04-27,14.75,
8616,47400,2022-10-10,16.8,
8918,47810,2023-07-29,13.8,
8619,47415,2022-10-13,15.88,
8539,47415,2022-07-28,12.0,
8716,47400,2023-01-14,13.445,
9249,47415,2024-06-12,13.675,
8641,47415,2022-11-03,14.075,
8624,47415,2022-10-18,17.255,
8755,47415,2023-02-21,14.0,
8627,47415,2022-10-21,16.275,
9000,46315,2023-10-16,11.9,
8602,46315,2022-09-27,17.66,
8601,47415,2022-09-26,16.925,
8924,47415,2023-08-03,14.77,
9232,46315,2024-05-27,16.925,
8764,47400,2023-03-01,21.099999999999998,
9148,47415,2024-03-06,15.899999999999999,
8964,47415,2023-09-11,15.91,
8896,47588,2023-07-07,11.120000000000001,
9193,47415,2024-04-19,14.23,
8950,47415,2023-08-29,16.43166666666667,
8750,46315,2023-02-16,14.850000000000001,
9146,47415,2024-03-04,15.875,
8643,47415,2022-11-05,15.2,
8932,47415,2023-08-11,16.23,
8749,46315,2023-02-15,14.625,
9139,47415,2024-02-27,15.844999999999999,
9091,47415,2024-01-11,17.924999999999997,
8419,47415,2022-04-02,10.35,
8799,47810,2023-04-04,8.72,
8808,47415,2023-04-13,15.095,
8613,46315,2022-10-07,17.445,
8646,46315,2022-11-08,14.325,
9312,47415,2024-08-12,12.975,
8963,46315,2023-09-10,15.45,
9135,46315,2024-02-23,18.025,
8945,47415,2023-08-24,12.82,
8906,46315,2023-07-17,15.035,
8576,47415,2022-09-01,15.3,
8975,47415,2023-09-22,16.688333333333333,
8655,46315,2022-11-17,15.81,
8759,47400,2023-02-25,13.795,
9297,46315,2024-07-29,15.175,
9238,46315,2024-06-01,15.795,
8445,47415,2022-04-28,11.3,
8646,47400,2022-11-08,14.325,
8736,47400,2023-02-02,16.38,
8488,47415,2022-06-08,12.7,
8860,46315,2023-06-02,12.575,
8730,47400,2023-01-28,14.174999999999999,
9111,47415,2024-01-31,20.035,
